ma_benh,ten_benh,ten_thuoc,hoat_chat,nhom_thuoc,dang_bao_che,cong_dung,lieu_dung,cach_dung,tac_dung_phu,luu_y,can_ke_don,do_uu_tien,loai_dieu_tri
cam_cum,Cảm cúm,Paracetamol 500mg,Paracetamol,Giảm đau hạ sốt,Viên nén,"Giảm đau đầu và hạ sốt nhẹ đến trung bình do cảm cúm thông thường, an toàn cho hầu hết người lớn",500-1000 mg mỗi 4-6 giờ khi cần,Uống sau ăn với nhiều nước,Hiếm gặp; quá liều có thể gây tổn thương gan,"Không dùng quá 4g/ngày, tránh kết hợp với rượu",0,1,primary
cam_cum,Cảm cúm,Ibuprofen 200mg,Ibuprofen,Kháng viêm không steroid (NSAID),Viên nén,Giảm đau nhức cơ thể và hạ sốt kèm tác dụng kháng viêm cho cảm cúm có đau nhức nhiều,200-400 mg mỗi 6-8 giờ khi cần,Uống sau ăn no để giảm kích ứng dạ dày,"Đau dạ dày, buồn nôn, ợ nóng",Tránh dùng khi đang đau dạ dày hoặc viêm loét tiêu hoá,0,2,alternative
cam_cum,Cảm cúm,Cetirizine 10mg,Cetirizine,Kháng histamin H1,Viên nén,Giảm sổ mũi hắt hơi và chảy nước mắt do cảm cúm kèm dị ứng đường hô hấp,10 mg uống 1 lần/ngày vào buổi tối,"Uống với nước, không phụ thuộc bữa ăn","Buồn ngủ nhẹ, khô miệng",Thận trọng khi lái xe hoặc vận hành máy móc,0,2,secondary
cam_cum,Cảm cúm,Dextromethorphan 15mg,Dextromethorphan,Giảm ho (tác động trung ương),Siro,Giảm ho khan kéo dài do cảm cúm không kèm đờm,10-15 ml mỗi 6-8 giờ khi cần,Uống trực tiếp hoặc pha với nước ấm,"Buồn ngủ, chóng mặt nhẹ, buồn nôn",Không dùng cho ho có đờm nhiều hoặc trẻ dưới 6 tuổi,0,2,secondary
cam_cum,Cảm cúm,Vitamin C 500mg,Acid ascorbic,Vitamin và khoáng chất,Viên sủi,Hỗ trợ tăng cường đề kháng giúp rút ngắn thời gian hồi phục khi cảm cúm,500 mg uống 1 lần/ngày,Hoà tan viên sủi trong nước rồi uống,Rối loạn tiêu hoá nhẹ nếu dùng liều cao,Người có tiền sử sỏi thận nên hỏi ý kiến dược sĩ,0,3,alternative
dau_dau,Đau đầu,Paracetamol 500mg,Paracetamol,Giảm đau hạ sốt,Viên nén,"Giảm đau đầu căng cơ và đau đầu nhẹ thông thường, an toàn cho đa số người dùng",500-1000 mg mỗi 4-6 giờ khi cần,Uống sau ăn với nhiều nước,Hiếm gặp; quá liều có thể gây tổn thương gan,"Không dùng quá 4g/ngày, tránh kết hợp với rượu",0,1,primary
dau_dau,Đau đầu,Ibuprofen 400mg,Ibuprofen,Kháng viêm không steroid (NSAID),Viên nén,Giảm đau đầu mức độ trung bình kèm cảm giác căng tức do viêm,400 mg mỗi 6-8 giờ khi cần,Uống sau ăn no để giảm kích ứng dạ dày,"Đau dạ dày, buồn nôn, ợ nóng",Tránh dùng khi đang đau dạ dày hoặc viêm loét tiêu hoá,0,2,alternative
dau_dau,Đau đầu,Aspirin 500mg,Acid acetylsalicylic,Kháng viêm không steroid (NSAID),Viên nén,Giảm đau đầu kèm tác dụng chống viêm nhẹ cho người lớn,500 mg mỗi 4-6 giờ khi cần,Uống sau ăn với nhiều nước,"Kích ứng dạ dày, ù tai nếu dùng liều cao",Không dùng cho người dưới 18 tuổi do nguy cơ hội chứng Reye,0,3,alternative
dau_dau,Đau đầu,Cafein kết hợp Paracetamol,Paracetamol và Cafein,Giảm đau hạ sốt phối hợp,Viên nén,Giảm đau đầu nhanh hơn nhờ cafein hỗ trợ tăng hấp thu và giảm cảm giác mệt mỏi kèm đau đầu,1 viên mỗi 6 giờ khi cần,"Uống với nước, tránh dùng gần giờ ngủ","Mất ngủ, hồi hộp nếu dùng nhiều",Hạn chế dùng cho người nhạy cảm với cafein hoặc mất ngủ,0,2,secondary
dau_dau,Đau đầu,Cao dán giảm đau Salonpas,Methyl salicylate và Menthol,Giảm đau tại chỗ,Cao dán,Giảm đau đầu do căng cơ vùng cổ vai gáy bằng tác dụng giảm đau tại chỗ,"Dán 1 miếng lên vùng đau, tối đa 2 lần/ngày",Dán trực tiếp lên da sạch và khô,"Kích ứng da nhẹ, nóng rát tại vị trí dán",Không dán lên vết thương hở hoặc da bị kích ứng,0,3,alternative
tieu_chay,Tiêu chảy,Oresol,Muối bù điện giải (ORS),Bù nước điện giải,Bột pha dung dịch,Bù nước và điện giải đã mất do tiêu chảy giúp ngăn ngừa mất nước,"Pha 1 gói với 200ml nước, uống sau mỗi lần đi ngoài","Pha đúng tỉ lệ với nước sạch, uống trong vòng 24 giờ sau khi pha",Hiếm gặp; buồn nôn nhẹ nếu uống quá nhanh,"Pha đúng tỉ lệ ghi trên bao bì, tránh pha quá đặc",0,1,primary
tieu_chay,Tiêu chảy,Loperamide 2mg,Loperamide,Giảm nhu động ruột,Viên nang,Giảm số lần đi ngoài bằng cách làm chậm nhu động ruột cho tiêu chảy không nhiễm khuẩn,"2 mg sau lần đi ngoài đầu tiên, tối đa 8mg/ngày",Uống với nước,"Táo bón, chướng bụng, chóng mặt",Không dùng khi tiêu chảy có sốt cao hoặc phân có máu,0,2,secondary
tieu_chay,Tiêu chảy,Smecta (Diosmectite),Diosmectite,Hấp thụ độc tố đường ruột,Bột pha hỗn dịch,Hấp thụ độc tố và bao phủ niêm mạc ruột giúp giảm tiêu chảy cấp,"1 gói pha với nước, 2-3 lần/ngày","Pha với nửa cốc nước, uống xa các thuốc khác ít nhất 2 giờ",Táo bón nhẹ,Uống cách xa các thuốc uống khác để tránh giảm hấp thu,0,1,primary
tieu_chay,Tiêu chảy,Men vi sinh Probiotic,Lactobacillus acidophilus,Cân bằng vi sinh đường ruột,Gói bột,Bổ sung lợi khuẩn giúp cân bằng hệ vi sinh đường ruột hỗ trợ phục hồi sau tiêu chảy,"1 gói/lần, 2 lần/ngày",Pha với nước nguội hoặc ăn trực tiếp,Đầy hơi nhẹ trong vài ngày đầu,Không pha với nước quá nóng làm mất hoạt tính lợi khuẩn,0,3,alternative
tieu_chay,Tiêu chảy,Berberin 50mg,Berberin clorid,Kháng khuẩn đường ruột nhẹ,Viên nén,Hỗ trợ giảm tiêu chảy do rối loạn tiêu hoá hoặc nhiễm khuẩn nhẹ đường ruột,2 viên mỗi 8 giờ,Uống trước ăn với nước,Hiếm gặp; rối loạn tiêu hoá nhẹ,Không dùng cho phụ nữ có thai,0,2,secondary
di_ung_me_day,Dị ứng / Mề đay,Loratadine 10mg,Loratadine,Kháng histamin H1 thế hệ 2,Viên nén,"Giảm ngứa và mề đay do dị ứng mà ít gây buồn ngủ, phù hợp dùng ban ngày",10 mg uống 1 lần/ngày,"Uống với nước, không phụ thuộc bữa ăn","Khô miệng, đau đầu nhẹ",Hiệu quả chậm hơn thuốc kháng histamin thế hệ 1 nhưng ít buồn ngủ,0,1,primary
di_ung_me_day,Dị ứng / Mề đay,Chlorpheniramine 4mg,Chlorpheniramine maleate,Kháng histamin H1 thế hệ 1,Viên nén,Giảm nhanh ngứa và mề đay cấp nhưng gây buồn ngủ nên phù hợp dùng buổi tối,4 mg mỗi 6-8 giờ khi cần,"Uống với nước, tránh dùng khi cần tỉnh táo","Buồn ngủ nhiều, khô miệng",Không lái xe hoặc vận hành máy móc sau khi dùng,0,2,secondary
di_ung_me_day,Dị ứng / Mề đay,Kem bôi Hydrocortisone 1%,Hydrocortisone,Kháng viêm corticoid tại chỗ,Kem bôi da,Giảm viêm và ngứa tại vùng da bị mề đay hoặc dị ứng khu trú,"Bôi lớp mỏng lên vùng da tổn thương, 1-2 lần/ngày","Bôi sau khi vệ sinh sạch vùng da, không băng kín","Mỏng da nếu dùng kéo dài, kích ứng nhẹ",Không bôi lên vùng da có vết thương hở hoặc nhiễm trùng,0,2,secondary
di_ung_me_day,Dị ứng / Mề đay,Fexofenadine 60mg,Fexofenadine,Kháng histamin H1 thế hệ 2,Viên nén,"Giảm ngứa mề đay và sổ mũi do dị ứng với tác dụng kéo dài, ít gây buồn ngủ",60 mg uống 1-2 lần/ngày,"Uống với nước, tránh dùng cùng nước ép trái cây","Đau đầu nhẹ, buồn nôn hiếm gặp",Không dùng cùng nước cam hoặc nước táo vì giảm hấp thu,0,2,alternative
di_ung_me_day,Dị ứng / Mề đay,Calamine Lotion,Calamine và Kẽm oxit,Làm dịu da tại chỗ,Dung dịch bôi ngoài da,"Làm dịu cảm giác ngứa rát trên da do mề đay, côn trùng đốt hoặc dị ứng nhẹ","Lắc đều và bôi lên vùng da ngứa, 2-3 lần/ngày","Bôi một lớp mỏng lên da sạch, để khô tự nhiên",Hiếm gặp; khô da nhẹ,Tránh bôi gần mắt và niêm mạc,0,3,alternative
dau_da_day,Đau dạ dày,Antacid (Nhôm hydroxit + Magie hydroxit),Aluminium hydroxide và Magnesium hydroxide,Trung hoà acid dạ dày,Hỗn dịch uống,Trung hoà nhanh acid dư trong dạ dày giúp giảm ợ chua và đau rát thượng vị tức thời,10ml sau ăn 1-2 giờ và trước khi ngủ,Lắc kỹ trước khi uống,Táo bón hoặc tiêu chảy nhẹ tuỳ liều,Không dùng cùng lúc với các thuốc khác vì có thể giảm hấp thu,0,1,primary
dau_da_day,Đau dạ dày,Omeprazole 20mg (OTC),Omeprazole,Ức chế bơm proton (PPI),Viên nang,"Giảm tiết acid dạ dày kéo dài, phù hợp cho ợ nóng và khó tiêu tái diễn",20 mg uống 1 lần/ngày trước ăn sáng,"Uống nguyên viên với nước, không nhai","Đau đầu, đầy bụng, tiêu chảy nhẹ",Không dùng liên tục quá 14 ngày mà không hỏi dược sĩ,0,1,primary
dau_da_day,Đau dạ dày,Simethicone 80mg,Simethicone,Chống đầy hơi,Viên nhai,Giảm đầy hơi chướng bụng kèm đau dạ dày do tích khí trong đường tiêu hoá,80 mg sau mỗi bữa ăn và trước khi ngủ,Nhai kỹ trước khi nuốt,"Hiếm gặp, rất an toàn",Có thể dùng kết hợp với các thuốc giảm acid khác,0,2,secondary
dau_da_day,Đau dạ dày,Sucralfate 1g,Sucralfate,Bảo vệ niêm mạc dạ dày,Viên nén,Tạo lớp bảo vệ niêm mạc dạ dày giúp giảm đau rát và hỗ trợ làm lành tổn thương nhẹ,"1 g uống trước ăn 1 giờ, 2-4 lần/ngày",Uống với nước khi bụng đói,"Táo bón, khô miệng",Không nên dùng cùng lúc với thuốc kháng acid khác,0,2,alternative
dau_da_day,Đau dạ dày,Domperidone 10mg,Domperidone,Điều hoà vận động tiêu hoá,Viên nén,"Giảm cảm giác đầy bụng, buồn nôn và khó tiêu bằng cách tăng vận động dạ dày","10 mg trước ăn 15-30 phút, 3 lần/ngày",Uống với nước trước bữa ăn,"Khô miệng, nhức đầu nhẹ, hiếm gặp rối loạn nhịp tim",Không dùng quá 1 tuần liên tục mà không hỏi ý kiến dược sĩ,0,3,alternative
