ma_benh,ten_benh,ten_trieu_chung,trong_so
cam_cum,Cảm cúm,Sốt,4
cam_cum,Cảm cúm,Đau đầu,3
cam_cum,Cảm cúm,Mệt mỏi,3
cam_cum,Cảm cúm,Sổ mũi,5
cam_cum,Cảm cúm,Hắt hơi,4
cam_cum,Cảm cúm,Ho khan,4
cam_cum,Cảm cúm,Đau họng,3
cam_cum,Cảm cúm,Đau nhức cơ thể,3
dau_dau,Đau đầu,Đau đầu,5
dau_dau,Đau đầu,Đau căng vùng cổ vai gáy,4
dau_dau,Đau đầu,Chóng mặt,2
dau_dau,Đau đầu,Mệt mỏi,2
dau_dau,Đau đầu,Sốt,1
dau_dau,Đau đầu,Buồn nôn,2
tieu_chay,Tiêu chảy,Tiêu chảy,5
tieu_chay,Tiêu chảy,Đau bụng,4
tieu_chay,Tiêu chảy,Buồn nôn,3
tieu_chay,Tiêu chảy,Mất nước,4
tieu_chay,Tiêu chảy,Đầy hơi chướng bụng,2
tieu_chay,Tiêu chảy,Mệt mỏi,2
tieu_chay,Tiêu chảy,Sốt,1
di_ung_me_day,Dị ứng / Mề đay,Ngứa da,5
di_ung_me_day,Dị ứng / Mề đay,Mề đay,5
di_ung_me_day,Dị ứng / Mề đay,Phát ban,4
di_ung_me_day,Dị ứng / Mề đay,Sổ mũi,2
di_ung_me_day,Dị ứng / Mề đay,Chảy nước mắt,2
di_ung_me_day,Dị ứng / Mề đay,Hắt hơi,2
dau_da_day,Đau dạ dày,Đau rát thượng vị,5
dau_da_day,Đau dạ dày,Ợ chua,5
dau_da_day,Đau dạ dày,Khó tiêu,4
dau_da_day,Đau dạ dày,Đầy hơi chướng bụng,4
dau_da_day,Đau dạ dày,Buồn nôn,3
dau_da_day,Đau dạ dày,Đau bụng,3
